arm	step	grid_kind	n_bench_required	n_bench_done	complete	missing
vanilla_te	25	light	3	3	1	
vanilla_te	50	light	3	3	1	
vanilla_te	100	anchor	5	5	1	
vanilla_te	150	light	3	3	1	
vanilla_te	200	anchor	5	5	1	
vanilla_te	250	anchor	5	5	1	
c2_qb_fixed8_corr	25	light	3	3	1	
c2_qb_fixed8_corr	50	light	3	3	1	
c2_qb_fixed8_corr	100	anchor	5	5	1	
c2_qb_fixed8_corr	150	light	3	3	1	
c2_qb_fixed8_corr	200	anchor	5	5	1	
c2_qb_perseq_corr	25	light	3	3	1	
c2_qb_perseq_corr	50	light	3	3	1	
c2_qb_perseq_corr	100	anchor	5	5	1	
c2_qb_perseq_corr	150	light	3	3	1	
c2_qb_perseq_corr	200	anchor	5	5	1	
c5_union_rkl	100	anchor	5	5	1	
c5_union_rkl	150	light	3	3	1	
c5_union_fkl	150	light	3	3	1	
c5_union_fkl	200	anchor	5	5	1	
n2_corr	25	light	3	3	1	
n2_corr	50	light	3	3	1	
n2_corr	100	anchor	5	5	1	
n2_corr	150	light	3	3	1	
n2_corr	200	anchor	5	5	1	
n2_corr	250	anchor	5	5	1	
b1_skew_kl_corr	25	light	3	3	1	
b1_skew_kl_corr	50	light	3	3	1	
b1_skew_kl_corr	100	anchor	5	5	1	
b1_skew_kl_corr	150	light	3	3	1	
b1_skew_kl_corr	200	anchor	5	5	1	
b2_forward_kl_corr	25	light	3	3	1	
b2_forward_kl_corr	50	light	3	3	1	
b2_forward_kl_corr	100	anchor	5	5	1	
b2_forward_kl_corr	150	light	3	3	1	
b2_forward_kl_corr	200	anchor	5	5	1	
c3_intersection_corr	25	light	3	3	1	
c3_intersection_corr	50	light	3	3	1	
c3_intersection_corr	100	anchor	5	5	1	
c3_intersection_corr	150	light	3	3	1	
c3_intersection_corr	200	anchor	5	5	1	
d2_selectkd_corr	25	light	3	3	1	
d2_selectkd_corr	50	light	3	3	1	
d2_selectkd_corr	100	anchor	5	5	1	
d2_selectkd_corr	150	light	3	3	1	
d2_selectkd_corr	200	anchor	5	5	1	
d3_teachability_corr	25	light	3	3	1	
d3_teachability_corr	50	light	3	3	1	
d3_teachability_corr	100	anchor	5	5	1	
d3_teachability_corr	150	light	3	3	1	
d3_teachability_corr	200	anchor	5	5	1	
e2_set_coverage_a0_corr	25	light	3	3	1	
e2_set_coverage_a0_corr	50	light	3	3	1	
e2_set_coverage_a0_corr	100	anchor	5	5	1	
f2_hard_clip_corr	25	light	3	3	1	
f2_hard_clip_corr	50	light	3	3	1	
f2_hard_clip_corr	100	anchor	5	5	1	
f2_hard_clip_corr	150	light	3	3	1	
f2_hard_clip_corr	200	anchor	5	5	1	
f3_power_corr	25	light	3	3	1	
f3_power_corr	50	light	3	3	1	
f3_power_corr	100	anchor	5	5	1	
f3_power_corr	150	light	3	3	1	
f3_power_corr	200	anchor	5	5	1	
g6_seqmean_corr	25	light	3	3	1	
g6_seqmean_corr	50	light	3	3	1	
g6_seqmean_corr	100	anchor	5	5	1	
g1_verified_only_corr	25	light	3	3	1	
g1_verified_only_corr	50	light	3	3	1	
g1_verified_only_corr	100	anchor	5	5	1	
g1_verified_only_corr	150	light	3	3	1	
g1_verified_only_corr	200	anchor	5	5	1	
h1_first_segment_corr	25	light	3	3	1	
h1_first_segment_corr	50	light	3	3	1	
h1_first_segment_corr	100	anchor	5	5	1	
h1_first_segment_corr	150	light	3	3	1	
h1_first_segment_corr	200	anchor	5	5	1	
h2_last_segment_corr	25	light	3	3	1	
h2_last_segment_corr	50	light	3	3	1	
h2_last_segment_corr	100	anchor	5	5	1	
h3_random_segment_corr	25	light	3	3	1	
h3_random_segment_corr	50	light	3	3	1	
h3_random_segment_corr	100	anchor	5	5	1	
h3_random_segment_corr	150	light	3	3	1	
h3_random_segment_corr	200	anchor	5	5	1	
h4_random_scatter_corr	25	light	3	3	1	
h4_random_scatter_corr	50	light	3	3	1	
h4_random_scatter_corr	100	anchor	5	5	1	
h4_random_scatter_corr	150	light	3	3	1	
h4_random_scatter_corr	200	anchor	5	5	1	
a1_gkd_mix0.5_n0	100	anchor	5	5	1	
a1_gkd_mix0.5_n0	150	light	3	3	1	
a1_gkd_mix0.5_n0	200	anchor	5	5	1	
a3_offpolicy_n0	100	anchor	5	5	1	
a3_offpolicy_n0	150	light	3	3	1	
a3_offpolicy_n0	200	anchor	5	5	1	
a4_dagger_anneal_n0	25	light	3	3	1	
a4_dagger_anneal_n0	100	anchor	5	5	1	
a4_dagger_anneal_n0	150	light	3	3	1	
a4_dagger_anneal_n0	200	anchor	5	5	1	
a5_aggrevate_n0	25	light	3	3	1	
a5_aggrevate_n0	50	light	3	3	1	
a5_aggrevate_n0	100	anchor	5	5	1	
a5_aggrevate_n0	150	light	3	3	1	
a5_aggrevate_n0	200	anchor	5	5	1	
