arm	axis	target_steps	roster_prio	env_delta_vs_carrier	desc	roster_note
vanilla_te	N	250	0	DISTILLATION_LOSS_MODE=k1_rec;SIMOPD_TERM_EVENT=1	[OURS] regression control of the base: plain k1 + N0 carrier + SIMOPD_TERM_EVENT=1 must reproduce vanilla_corr (k1_termfix) -- licenses every *_corr row as 'k1_termfix + one knob'	TE Path1 是否 ≡ termfix,licenses 每条 _corr 行
c2_qb_fixed8_corr	N	200	1	DISTILLATION_LOSS_MODE=qb_quantile_budget;SIMOPD_QB_MARGIN=max;SIMOPD_QB_SCOPE=fixed;SIMOPD_QB_TARGET_BUDGET=8;SIMOPD_TERM_EVENT=1;USE_POLICY_GRADIENT=False	[OURS] N0 + c2 QB pinning ladder rung 0 on the corrected base: fixed teacher-rank top-8, zero adaptivity	OURS 梯子:固定 top-8
c2_qb_perseq_corr	N	200	1	DISTILLATION_LOSS_MODE=qb_quantile_budget;SIMOPD_QB_MARGIN=max;SIMOPD_QB_SCOPE=sequence;SIMOPD_QB_TARGET_BUDGET=8;SIMOPD_TERM_EVENT=1;USE_POLICY_GRADIENT=False	[OURS] N0 + c2 QB pinning ladder rung 1 on the corrected base: one tau per trajectory	OURS 梯子:每轨迹一个 tau
c5_union_rkl	C	250	1	DISTILLATION_LOSS_MODE=union_rkl;DISTILLATION_TOPK=34;USE_POLICY_GRADIENT=False	[wave22, OURS] RKL on the UNION support (teacher top-k + student top-k + exact terminator columns), NO N0 -- the support-geometry corner c1/b2/c3 leave open	"OURS 预注册""更早爆"""
c5_union_fkl	C	250	1	DISTILLATION_LOSS_MODE=union_fkl;DISTILLATION_TOPK=34;USE_POLICY_GRADIENT=False	[wave22, OURS] FKL on the same UNION support, NO N0 -- 'teach the teacher's terminator convention' vs N0's 'translate it'	OURS 预注册 un_p_imend 上升
n2_corr	N	250	1	DISTILLATION_LOSS_MODE=k1_termcal;SIMOPD_EOS_AUX_COEF=1.0;SIMOPD_TERM_EVENT=1	[OURS] N0 + N2: the termination-marginal calibration channel ON the corrected base (event-level terminal Delta-ell + dense stop-vs-continue BCE)	N2 在修正基座上的效果
b1_skew_kl_corr	N	200	2	DISTILLATION_LOSS_MODE=skew_kl_a0.1;SIMOPD_TERM_EVENT=1	[OURS] N0 + b1: skew-KL (alpha 0.1) sampled estimator on the corrected base	B null 代表
b2_forward_kl_corr	N	200	2	DISTILLATION_LOSS_MODE=forward_kl_topk;DISTILLATION_TOPK=34;SIMOPD_TERM_EVENT=1;USE_POLICY_GRADIENT=False	[OURS] b2 corrected: unnormalized teacher-top-k forward KL on the collapsed support (direct branch)	分数≈但交付坏(唯一此类)
c3_intersection_corr	N	200	2	DISTILLATION_LOSS_MODE=intersection_topk;DISTILLATION_TOPK=34;SIMOPD_TERM_EVENT=1;USE_POLICY_GRADIENT=False	[OURS] c3 corrected: thunlp intersection support on the collapsed support (direct branch)	省 token 候选
d2_selectkd_corr	N	200	2	DISTILLATION_LOSS_MODE=selectkd_verify;DISTILLATION_TOPK=34;SIMOPD_SELECTKD_BETA=0.01;SIMOPD_SELECTKD_K=5;SIMOPD_TERM_EVENT=1	[OURS] N0 + d2: SelecTKD student-proposes/teacher-verifies (k=5, beta=.01) on the corrected base and the collapsed support	D 代表
d3_teachability_corr	N	200	2	DISTILLATION_LOSS_MODE=teachability_select;DISTILLATION_TOPK=34;SIMOPD_D_RETENTION=0.05;SIMOPD_TEACH_K=16;SIMOPD_TERM_EVENT=1	[OURS] N0 + d3: teachability = disagreement x compatibility (top-5%) on the corrected base and the collapsed support	修正后 +32% 长度,动态不同
e2_set_coverage_a0_corr	N	200	2	DISTILLATION_LOSS_MODE=set_coverage_anchor;DISTILLATION_TOPK=34;SIMOPD_PL_ANCHOR_COEF=0;SIMOPD_TERM_EVENT=1;USE_POLICY_GRADIENT=False	[OURS] e2@0 corrected: set-coverage objective (anchor coef 0) on the collapsed support	第二条塌缩通路
